City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
145,Butaritari,KI,2022-02-06 12:35:48,3.0707,172.7902,81.14,78,53,15.64
146,Ust-Nera,RU,2022-02-06 12:35:48,64.5667,143.2,-22.95,73,7,2.59
147,Rafaela,AR,2022-02-06 12:35:49,-31.2503,-61.4867,71.01,45,0,1.99
148,Smolenka,RU,2022-02-06 12:35:49,52.1352,113.4974,12.27,79,20,6.71
149,Te Anau,NZ,2022-02-06 12:35:50,-45.4167,167.7167,42.26,90,0,3.33
150,Naya Bazar,IN,2022-02-06 12:35:50,27.1333,88.2667,54.01,95,100,2.24
151,Bethel,US,2022-02-06 12:35:50,41.3712,-73.414,16.92,77,0,0.0
152,Abu Samrah,SY,2022-02-06 12:35:51,35.3029,37.1841,53.92,62,100,18.37
153,Leua,SK,2022-02-06 12:35:51,48.2156,18.6071,45.34,68,100,10.2
154,Diamantino,BR,2022-02-06 12:35:52,-14.4086,-56.4461,80.6,82,100,2.48
155,Christchurch,NZ,2022-02-06 12:35:52,-43.5333,172.6333,55.99,82,100,3.44
156,Vestmanna,FO,2022-02-06 12:35:53,62.1564,-7.1664,31.12,100,100,18.41
157,Dingle,PH,2022-02-06 12:35:53,10.9995,122.6711,76.5,83,16,11.72
158,Aschaffenburg,DE,2022-02-06 12:35:54,49.9739,9.1492,44.11,93,100,21.68
159,Narsaq,GL,2022-02-06 12:35:54,60.9167,-46.05,5.22,63,100,3.13
160,Rawson,AR,2022-02-06 12:35:54,-43.3002,-65.1023,67.42,46,0,12.19
161,Pitimbu,BR,2022-02-06 12:35:55,-7.4706,-34.8086,84.79,55,78,7.29
162,Muravlenko,RU,2022-02-06 12:35:55,63.7898,74.523,-12.91,100,54,7.61
163,Chernyshevskiy,RU,2022-02-06 12:35:56,63.0128,112.4714,-3.69,99,100,3.0
164,Kodiak,US,2022-02-06 12:35:56,57.79,-152.4072,38.71,70,100,16.11
165,Plettenberg Bay,ZA,2022-02-06 12:35:56,-34.0527,23.3716,79.36,62,14,7.31
166,Cherskiy,RU,2022-02-06 12:33:12,68.75,161.3,-29.69,100,42,1.01
